GetTimestampOverhead     : 0 total=188.176035ms  i=0.000019ms i=18.82ns  Loop:10,000,000
GetTimestampOverhead     : 1 total=210.830266ms  i=0.000021ms i=21.08ns  Loop:10,000,000
GetTimestampOverhead     : 2 total=233.292286ms  i=0.000023ms i=23.33ns  Loop:10,000,000
GetTimestampOverhead     : 3 total=206.339129ms  i=0.000021ms i=20.63ns  Loop:10,000,000
GetTimestampOverhead     : 4 total=205.411271ms  i=0.000021ms i=20.54ns  Loop:10,000,000
GetTimestampOverhead     : 5 total=190.757443ms  i=0.000019ms i=19.08ns  Loop:10,000,000
GetTimestampOverhead     : 6 total=219.884354ms  i=0.000022ms i=21.99ns  Loop:10,000,000
SUMMARY:GetTimestampOverhead           min:18.82 max:23.33 avg:20.78

GetTimestampOverheadArray: 0 total=230.562119ms  i=0.000023ms i=23.06ns  Loop:10,000,000
GetTimestampOverheadArray: 1 total=215.991875ms  i=0.000022ms i=21.60ns  Loop:10,000,000
GetTimestampOverheadArray: 2 total=220.209331ms  i=0.000022ms i=22.02ns  Loop:10,000,000
GetTimestampOverheadArray: 3 total=210.024915ms  i=0.000021ms i=21.00ns  Loop:10,000,000
GetTimestampOverheadArray: 4 total=215.887773ms  i=0.000022ms i=21.59ns  Loop:10,000,000
GetTimestampOverheadArray: 5 total=212.087929ms  i=0.000021ms i=21.21ns  Loop:10,000,000
GetTimestampOverheadArray: 6 total=251.284292ms  i=0.000025ms i=25.13ns  Loop:10,000,000
SUMMARY:GetTimestampOverheadArray      min:21.00 max:25.13 avg:22.23

CreateTaskNew                 : 6 (TimeToStart         ) =        0.009052ms =         9052.28 ns *
CreateTaskNew                 : 6 (StartNewMethod      ) =        0.003017ms =         3017.43 ns
CreateTaskNew                 : 7 (TimeToStart         ) =        0.009958ms =         9957.51 ns *
CreateTaskNew                 : 7 (StartNewMethod      ) =        0.003923ms =         3922.65 ns
CreateTaskNew                 : 8 (TimeToStart         ) =        0.008751ms =         8750.54 ns *
CreateTaskNew                 : 8 (StartNewMethod      ) =        0.003017ms =         3017.43 ns
CreateTaskNew                 : 9 (TimeToStart         ) =        0.008449ms =         8448.79 ns *
CreateTaskNew                 : 9 (StartNewMethod      ) =        0.002716ms =         2715.68 ns
CreateTaskNew                 :10 (TimeToStart         ) =        0.013578ms =        13578.42 ns *
CreateTaskNew                 :10 (StartNewMethod      ) =        0.007242ms =         7241.82 ns
CreateTaskNew                 :11 (TimeToStart         ) =        0.009354ms =         9354.02 ns *
CreateTaskNew                 :11 (StartNewMethod      ) =        0.003621ms =         3620.91 ns
SUMMARY:CreateTaskNew                  min:8448.79 max:120395.29 avg:14906.08 (Skip First 2)

QueueUserWorkItem             : 0 (TimeToStart         ) =        0.423647ms =       423646.60 ns *
QueueUserWorkItem             : 0 (QueueUserWorkItem   ) =        0.003621ms =         3620.91 ns
QueueUserWorkItem             : 1 (TimeToStart         ) =        0.017501ms =        17501.07 ns *
QueueUserWorkItem             : 1 (QueueUserWorkItem   ) =        0.007242ms =         7241.82 ns
QueueUserWorkItem             : 2 (TimeToStart         ) =        0.011768ms =        11767.96 ns *
QueueUserWorkItem             : 2 (QueueUserWorkItem   ) =        0.003923ms =         3922.65 ns
QueueUserWorkItem             : 3 (TimeToStart         ) =        0.057633ms =        57632.84 ns *
QueueUserWorkItem             : 3 (QueueUserWorkItem   ) =        0.011466ms =        11466.22 ns
QueueUserWorkItem             : 4 (TimeToStart         ) =        0.015087ms =        15087.13 ns *
QueueUserWorkItem             : 4 (QueueUserWorkItem   ) =        0.004224ms =         4224.40 ns
QueueUserWorkItem             : 5 (TimeToStart         ) =        0.015389ms =        15388.87 ns *
QueueUserWorkItem             : 5 (QueueUserWorkItem   ) =        0.002716ms =         2715.68 ns
QueueUserWorkItem             : 6 (TimeToStart         ) =        0.013578ms =        13578.42 ns *
QueueUserWorkItem             : 6 (QueueUserWorkItem   ) =        0.004224ms =         4224.40 ns
QueueUserWorkItem             : 7 (TimeToStart         ) =        0.012070ms =        12069.70 ns *
QueueUserWorkItem             : 7 (QueueUserWorkItem   ) =        0.002716ms =         2715.68 ns
